Sample_ID,Plant_Type,Disease_Class,Leaf_Color_Index,Spot_Count,Spot_Size_mm,Temperature_C,Humidity_%,Soil_pH,Nitrogen,Phosphorus,Potassium,Disease_Severity,Target_Label
L0304,Corn,Bacterial Spot,0.367,18,6.73,30.8,64,7.5,58,77,107,Severe,3
L0305,Corn,Bacterial Spot,0.862,10,1.38,31.8,58,7.4,200,108,129,Moderate,3
L0306,Corn,Bacterial Spot,0.408,44,1.54,21.5,58,7.4,195,64,176,Severe,3
L0307,Grape,Bacterial Spot,0.409,43,7.84,23,81,6.1,181,106,64,Moderate,3
L0308,Tomato,Bacterial Spot,0.945,31,7,20.2,53,6.1,132,51,213,Mild,3
L0309,Potato,Bacterial Spot,0.675,36,2.52,25,73,5.7,73,71,171,Moderate,3
L0310,Apple,Bacterial Spot,0.596,22,4.16,27.9,94,7.4,73,113,157,Severe,3
L0311,Apple,Bacterial Spot,0.853,47,6.47,24.8,72,7.4,176,54,122,Severe,3
L0312,Grape,Bacterial Spot,0.676,26,4.75,26.3,66,7.6,62,25,65,Moderate,3
L0313,Tomato,Bacterial Spot,0.381,34,6.93,25.5,45,7.8,159,45,216,Severe,3
L0314,Apple,Bacterial Spot,0.403,46,7.5,22.7,86,6.3,71,67,210,Mild,3
L0315,Tomato,Bacterial Spot,0.558,15,2.79,29.9,59,6.5,73,110,64,Severe,3
L0316,Corn,Bacterial Spot,0.351,18,4.95,26.8,73,5.5,137,35,148,Mild,3
L0317,Corn,Bacterial Spot,0.346,13,3.37,30.4,51,5.7,144,58,75,Severe,3
L0318,Potato,Bacterial Spot,0.344,13,4.72,28.4,55,6.5,104,100,78,Moderate,3
L0319,Corn,Bacterial Spot,0.859,44,1.15,19.7,93,5.8,148,64,149,Moderate,3
L0320,Potato,Bacterial Spot,0.48,13,1.13,27.4,83,7.2,122,119,216,Moderate,3
L0321,Apple,Bacterial Spot,0.434,47,5.05,21.2,70,6.2,63,120,101,Mild,3
L0322,Tomato,Bacterial Spot,0.457,29,5.29,19.2,45,7.8,131,36,139,Moderate,3
L0323,Apple,Bacterial Spot,0.655,31,1.8,26,94,5.7,200,28,43,Severe,3
L0324,Tomato,Bacterial Spot,0.9,18,7.62,24.8,63,6.9,178,118,146,Moderate,3
L0325,Corn,Bacterial Spot,0.354,49,4.52,28.5,62,5.7,70,85,92,Moderate,3
L0326,Apple,Bacterial Spot,0.554,39,5.26,32.2,88,7,129,109,151,Mild,3
L0327,Tomato,Bacterial Spot,0.459,20,7.43,20,84,6.9,129,105,208,Severe,3
L0328,Tomato,Bacterial Spot,0.308,16,1.53,18.2,76,7.7,183,86,106,Severe,3
L0329,Potato,Bacterial Spot,0.787,28,7.05,30.5,52,7.3,57,62,149,Mild,3
L0330,Tomato,Bacterial Spot,0.471,38,7.81,28.7,76,6.5,142,27,167,Moderate,3
L0331,Apple,Bacterial Spot,0.402,15,6.3,33.2,88,7.2,108,114,170,Severe,3
L0332,Tomato,Bacterial Spot,0.459,7,4.04,24.5,54,5.9,59,90,207,Mild,3
L0333,Apple,Bacterial Spot,0.461,19,7.37,23.4,49,6.8,80,84,212,Moderate,3
L0334,Potato,Bacterial Spot,0.823,16,7.86,34.2,49,7.5,122,119,119,Mild,3
L0335,Grape,Bacterial Spot,0.597,10,3.27,23,95,6.2,112,79,134,Moderate,3
L0336,Potato,Bacterial Spot,0.776,36,4.6,31.5,54,5.5,154,23,99,Severe,3
L0337,Tomato,Bacterial Spot,0.918,27,0.51,29.2,92,7.2,76,46,175,Severe,3
L0338,Corn,Bacterial Spot,0.925,31,7.79,20.4,62,5.7,109,86,145,Mild,3
L0339,Corn,Bacterial Spot,0.933,28,1.14,19.6,53,7,150,29,191,Severe,3
L0340,Corn,Bacterial Spot,0.731,8,1.48,23,65,7.6,150,109,123,Severe,3
L0341,Apple,Bacterial Spot,0.452,33,7.58,20.3,94,6.8,89,33,82,Moderate,3
L0342,Apple,Bacterial Spot,0.564,34,4.52,34.4,58,6.5,168,53,70,Moderate,3
L0343,Apple,Bacterial Spot,0.837,15,5.73,18.7,65,5.8,113,65,141,Mild,3
L0344,Apple,Bacterial Spot,0.469,8,7.93,18.5,70,7.5,192,115,180,Severe,3
L0345,Corn,Bacterial Spot,0.366,11,6.45,20.1,48,7.4,106,36,90,Mild,3
L0346,Tomato,Bacterial Spot,0.679,28,2.44,31.8,46,7.8,100,102,153,Moderate,3
L0347,Apple,Bacterial Spot,0.38,10,7.57,18.9,81,6.5,151,83,47,Mild,3
L0348,Corn,Bacterial Spot,0.412,48,2.11,21.2,62,6.5,88,24,197,Moderate,3
L0349,Potato,Bacterial Spot,0.721,44,4.24,33,75,5.6,121,69,75,Severe,3
L0350,Grape,Bacterial Spot,0.462,17,7.96,27.2,46,7.8,141,81,179,Moderate,3
L0351,Grape,Bacterial Spot,0.627,27,3.41,21.1,65,6.9,57,119,111,Moderate,3
L0352,Grape,Bacterial Spot,0.532,35,4.88,22,55,5.7,111,54,176,Mild,3
L0353,Potato,Bacterial Spot,0.674,8,7.87,24.6,56,5.9,131,114,218,Severe,3
L0354,Tomato,Bacterial Spot,0.757,42,3.14,27.7,54,6.8,98,83,178,Moderate,3
L0355,Corn,Bacterial Spot,0.325,16,0.92,28.2,46,6.7,50,62,197,Moderate,3
L0356,Apple,Bacterial Spot,0.766,13,7.39,32.4,65,5.6,87,95,220,Mild,3
L0357,Grape,Bacterial Spot,0.859,12,7.7,24.4,87,6.4,75,63,117,Mild,3
L0358,Potato,Bacterial Spot,0.776,13,3.78,28.9,76,7,94,110,183,Moderate,3
L0359,Apple,Bacterial Spot,0.445,44,4.92,21,64,7.2,125,36,85,Severe,3
L0360,Grape,Bacterial Spot,0.555,5,7.96,34.4,47,5.9,131,98,96,Severe,3
L0361,Tomato,Bacterial Spot,0.909,41,1.55,30.7,60,6.3,131,41,202,Severe,3
L0362,Apple,Bacterial Spot,0.59,50,2.49,22.2,49,6.3,77,112,40,Mild,3
L0363,Corn,Bacterial Spot,0.776,29,7.77,33,76,7.5,139,89,136,Mild,3
L0364,Grape,Bacterial Spot,0.723,35,5.65,20.8,49,7.3,58,57,45,Mild,3
L0365,Tomato,Bacterial Spot,0.348,21,1.78,24.4,91,5.7,73,63,192,Moderate,3
L0366,Tomato,Bacterial Spot,0.58,35,5.4,28.3,72,5.9,75,62,92,Severe,3
L0367,Grape,Bacterial Spot,0.769,31,5.97,22.5,63,6.2,74,26,140,Mild,3
L0368,Corn,Bacterial Spot,0.4,40,3.21,25.3,63,7.4,172,45,64,Severe,3
L0369,Potato,Bacterial Spot,0.715,18,7.83,26.1,52,6.2,151,80,165,Mild,3
L0370,Tomato,Bacterial Spot,0.717,21,3.41,24.3,69,6.3,164,25,107,Severe,3
L0371,Apple,Bacterial Spot,0.447,34,2.51,19,93,7.1,74,30,211,Moderate,3
L0372,Corn,Bacterial Spot,0.931,39,4.92,27.4,69,7.4,157,88,215,Moderate,3
L0373,Potato,Bacterial Spot,0.61,41,1.09,33.3,90,5.6,196,86,186,Moderate,3
L0374,Potato,Bacterial Spot,0.378,44,6.18,20.9,55,7.7,99,36,50,Severe,3
L0375,Corn,Bacterial Spot,0.431,10,6.67,20.5,83,6.1,67,31,139,Moderate,3
L0376,Grape,Bacterial Spot,0.512,30,2.57,25.8,45,7.3,200,86,147,Severe,3
L0377,Potato,Bacterial Spot,0.396,31,4.91,30.9,51,7.6,194,119,65,Mild,3
L0378,Apple,Bacterial Spot,0.871,39,2.48,29.1,81,6.9,59,42,110,Moderate,3
L0379,Grape,Bacterial Spot,0.696,14,5.7,18.7,66,7.1,62,115,161,Moderate,3
L0380,Tomato,Bacterial Spot,0.52,28,6.45,23.3,76,7.5,75,49,74,Moderate,3
L0381,Apple,Bacterial Spot,0.475,33,3.63,29,57,6.5,154,114,164,Moderate,3
L0382,Tomato,Bacterial Spot,0.635,28,1.69,23.3,77,6.4,184,92,47,Severe,3
L0383,Potato,Bacterial Spot,0.844,17,2.37,25.8,68,7.1,120,67,158,Mild,3
L0384,Tomato,Bacterial Spot,0.743,30,2.31,26.3,73,5.9,171,95,181,Severe,3
L0385,Potato,Bacterial Spot,0.844,27,2.44,32.1,50,6.2,148,26,81,Moderate,3
L0386,Potato,Bacterial Spot,0.721,18,5.58,22.6,71,6.7,52,80,73,Severe,3
L0387,Grape,Bacterial Spot,0.821,16,2.18,28.3,64,7.1,120,74,136,Severe,3
L0388,Apple,Bacterial Spot,0.442,34,2.77,26.9,84,6.4,76,20,170,Moderate,3
L0389,Grape,Bacterial Spot,0.721,28,5.07,23.1,51,6.6,136,55,203,Severe,3
L0390,Apple,Bacterial Spot,0.726,22,7.64,29.1,57,5.8,111,27,193,Moderate,3
L0391,Apple,Bacterial Spot,0.742,47,5.91,29.1,63,6.1,157,71,139,Moderate,3
L0392,Grape,Bacterial Spot,0.76,7,4.79,21.2,91,7.1,186,101,161,Severe,3
L0393,Grape,Bacterial Spot,0.495,27,1.77,29.2,80,5.9,74,80,72,Severe,3
L0394,Grape,Bacterial Spot,0.796,21,1.87,29.6,66,7,106,65,97,Severe,3
L0395,Corn,Bacterial Spot,0.812,24,2.98,22.4,63,6.6,80,80,53,Severe,3
L0396,Grape,Bacterial Spot,0.914,42,1.03,33.1,77,5.8,147,87,116,Severe,3
L0397,Potato,Bacterial Spot,0.389,8,2,25,81,7.6,167,38,120,Moderate,3
L0398,Tomato,Bacterial Spot,0.617,16,5.23,21,85,5.6,165,55,93,Severe,3
L0399,Potato,Bacterial Spot,0.618,41,6.23,19.5,84,6.5,159,71,149,Mild,3
L0400,Tomato,Bacterial Spot,0.325,29,2,24.3,45,7.6,185,44,44,Moderate,3
L0401,Potato,Leaf Mold,0.447,5,7.08,23.3,51,6.4,200,59,82,Severe,4
L0402,Apple,Leaf Mold,0.917,7,3.92,26.8,78,6.3,84,63,165,Mild,4
L0403,Potato,Leaf Mold,0.916,17,7.39,24.9,59,6,83,47,45,Moderate,4
L0404,Potato,Leaf Mold,0.38,37,5.83,31.5,69,7.5,115,118,176,Severe,4
L0405,Grape,Leaf Mold,0.947,8,5.46,29.1,46,5.6,79,73,153,Severe,4
L0406,Grape,Leaf Mold,0.464,12,5.76,21.5,88,6.9,127,73,209,Moderate,4
L0407,Grape,Leaf Mold,0.475,47,5.04,20.3,51,6.7,80,56,69,Mild,4
L0408,Potato,Leaf Mold,0.696,36,6.33,32.1,57,6.3,154,57,81,Mild,4
L0409,Corn,Leaf Mold,0.892,40,5.66,26.2,60,5.5,72,34,186,Mild,4
L0410,Potato,Leaf Mold,0.917,36,6.35,19.3,91,5.7,115,102,99,Severe,4
L0411,Apple,Leaf Mold,0.602,23,1.25,21,47,7.5,142,106,120,Moderate,4
L0412,Tomato,Leaf Mold,0.853,12,7.18,18.2,53,7,93,62,131,Moderate,4
L0413,Apple,Leaf Mold,0.871,44,1.2,31.9,56,5.8,152,78,109,Moderate,4
L0414,Corn,Leaf Mold,0.82,49,5.37,31.5,52,5.8,65,40,66,Moderate,4
L0415,Corn,Leaf Mold,0.821,42,5.59,21.1,69,7.3,57,107,73,Moderate,4
L0416,Tomato,Leaf Mold,0.877,36,3.81,19.1,86,6.2,184,118,187,Moderate,4
L0417,Potato,Leaf Mold,0.936,41,5.52,23.8,78,7.1,74,75,209,Severe,4
L0418,Corn,Leaf Mold,0.525,20,5.57,24.5,80,7.6,63,21,204,Severe,4
L0419,Corn,Leaf Mold,0.854,37,7.02,19.3,76,6.2,134,55,52,Mild,4
L0420,Grape,Leaf Mold,0.718,19,3.52,22,74,6.5,196,77,62,Severe,4
L0421,Apple,Leaf Mold,0.377,33,4.23,29.1,51,6.4,59,91,180,Moderate,4
L0422,Grape,Leaf Mold,0.926,10,5.28,33.1,80,6,166,63,133,Mild,4
L0423,Corn,Leaf Mold,0.516,19,6.26,28.2,90,7,165,34,64,Mild,4
L0424,Tomato,Leaf Mold,0.522,19,6.72,34.4,63,6.8,145,109,67,Severe,4
L0425,Corn,Leaf Mold,0.391,15,5.88,30.3,51,6.1,100,44,70,Mild,4
L0426,Corn,Leaf Mold,0.836,18,1.93,23.7,93,6.5,200,35,155,Moderate,4
L0427,Grape,Leaf Mold,0.922,47,1.51,26.5,78,7.2,191,75,189,Moderate,4
L0428,Potato,Leaf Mold,0.75,37,1.8,31.9,51,6.4,132,84,138,Moderate,4
L0429,Potato,Leaf Mold,0.478,43,7.73,34.5,73,7.4,85,72,194,Moderate,4
L0430,Apple,Leaf Mold,0.848,37,4.61,23.3,92,7.7,105,45,93,Severe,4
L0431,Apple,Leaf Mold,0.746,50,7.41,20.3,90,7,95,84,178,Severe,4
L0432,Apple,Leaf Mold,0.762,45,6.21,27.6,82,6.8,156,106,176,Severe,4
L0433,Tomato,Leaf Mold,0.64,32,0.69,20.5,87,5.6,118,116,81,Moderate,4
L0434,Apple,Leaf Mold,0.395,48,0.97,31.3,58,7.2,58,65,155,Moderate,4
L0435,Grape,Leaf Mold,0.862,44,6.07,27.5,60,6.7,123,108,210,Mild,4
L0436,Corn,Leaf Mold,0.571,29,6.41,29.6,80,5.6,114,45,198,Mild,4
L0437,Apple,Leaf Mold,0.791,19,4.6,28.3,94,7.2,99,57,154,Moderate,4
L0438,Tomato,Leaf Mold,0.422,48,1.8,26.7,69,5.6,121,91,107,Mild,4
L0439,Grape,Leaf Mold,0.85,15,0.54,25.9,54,5.6,132,96,53,Mild,4
L0440,Apple,Leaf Mold,0.619,44,4.8,24.1,95,7.1,184,48,87,Severe,4
L0441,Grape,Leaf Mold,0.404,9,4.57,24.9,67,6,104,104,124,Severe,4
L0442,Apple,Leaf Mold,0.442,28,6.14,27,80,7.4,52,34,211,Moderate,4
L0443,Potato,Leaf Mold,0.888,33,5.1,28.6,47,7.1,132,68,69,Moderate,4
L0444,Grape,Leaf Mold,0.771,21,0.69,26.8,94,6.4,180,77,164,Moderate,4
L0445,Potato,Leaf Mold,0.508,23,1.12,19.6,94,6.7,51,100,56,Mild,4
L0446,Potato,Leaf Mold,0.862,47,3.68,19.8,79,7.4,161,102,58,Mild,4
L0447,Potato,Leaf Mold,0.315,48,5.88,18.6,49,5.6,114,91,58,Severe,4
L0448,Apple,Leaf Mold,0.565,19,3.88,24.9,65,5.5,80,88,41,Severe,4
L0449,Tomato,Leaf Mold,0.791,44,4.89,29.9,49,6.3,178,33,114,Severe,4
L0450,Grape,Leaf Mold,0.356,24,6.24,25.4,70,7.4,57,80,80,Severe,4
L0451,Potato,Leaf Mold,0.785,19,6.48,32.4,63,7.7,86,58,213,Severe,4
L0452,Apple,Leaf Mold,0.922,46,0.58,32.9,54,5.8,51,93,192,Severe,4
L0453,Grape,Leaf Mold,0.916,39,2.79,30.7,91,6.3,155,102,171,Moderate,4
L0454,Potato,Leaf Mold,0.444,15,6.76,21.3,56,7,195,26,180,Mild,4
L0455,Grape,Leaf Mold,0.348,46,5.54,22.3,57,7.2,174,62,131,Moderate,4
L0456,Potato,Leaf Mold,0.365,47,5.15,33.3,65,6.6,134,98,208,Mild,4
L0457,Grape,Leaf Mold,0.399,49,4.75,31.7,72,5.9,130,51,96,Moderate,4
L0458,Corn,Leaf Mold,0.48,46,3.2,29.6,66,7.5,168,77,131,Severe,4
L0459,Grape,Leaf Mold,0.371,36,5.34,19.4,62,7.5,85,88,90,Moderate,4
L0460,Tomato,Leaf Mold,0.773,45,7.19,32.4,85,5.6,198,94,143,Moderate,4
L0461,Tomato,Leaf Mold,0.659,18,4.58,35,75,7,88,66,140,Severe,4
L0462,Apple,Leaf Mold,0.387,42,4.26,19.5,68,6.7,111,98,215,Mild,4
L0463,Potato,Leaf Mold,0.59,37,1.84,34.1,87,7.5,87,114,163,Mild,4
L0464,Potato,Leaf Mold,0.795,7,2.24,22.5,59,5.6,102,86,132,Moderate,4
L0465,Corn,Leaf Mold,0.873,35,0.8,29,51,7.1,183,101,110,Moderate,4
L0466,Grape,Leaf Mold,0.654,21,1.8,29.1,68,6.9,69,86,104,Severe,4
L0467,Grape,Leaf Mold,0.564,19,6.63,23.9,95,6.6,51,84,75,Moderate,4
L0468,Potato,Leaf Mold,0.35,15,5.33,21.6,56,5.9,80,104,98,Moderate,4
L0469,Tomato,Leaf Mold,0.613,26,4.09,21.6,55,7,155,22,102,Moderate,4
L0470,Grape,Leaf Mold,0.685,13,1.51,26.7,81,5.8,92,53,86,Mild,4
L0471,Grape,Leaf Mold,0.93,30,5.28,32.9,91,7,122,30,95,Severe,4
L0472,Corn,Leaf Mold,0.864,43,1.78,32.1,83,5.8,199,118,86,Moderate,4
L0473,Grape,Leaf Mold,0.472,47,5.93,23.8,74,6.9,67,49,136,Severe,4
L0474,Tomato,Leaf Mold,0.311,13,4.42,33.5,88,6.5,88,97,64,Moderate,4
L0475,Grape,Leaf Mold,0.69,35,7.08,27,93,5.8,173,104,73,Mild,4
L0476,Tomato,Leaf Mold,0.883,39,6.31,29,78,6.5,61,109,175,Severe,4
L0477,Corn,Leaf Mold,0.813,19,3.36,28,92,7.6,197,32,148,Moderate,4
L0478,Corn,Leaf Mold,0.798,21,7.33,19.4,83,7.5,154,52,88,Mild,4
L0479,Tomato,Leaf Mold,0.676,50,1.38,18.1,86,6,130,72,132,Mild,4
L0480,Corn,Leaf Mold,0.724,14,2.4,32.5,72,6.8,120,107,141,Mild,4
L0481,Grape,Leaf Mold,0.809,31,4.12,24.3,80,6.6,128,93,128,Mild,4
L0482,Potato,Leaf Mold,0.856,30,5.44,30.7,73,7.3,91,32,94,Severe,4
L0483,Apple,Leaf Mold,0.821,30,5.11,29.6,48,5.9,51,31,77,Severe,4
L0484,Corn,Leaf Mold,0.357,43,2.47,24.3,83,5.6,148,71,197,Moderate,4
L0485,Apple,Leaf Mold,0.763,38,4.98,34.1,56,7,162,21,91,Severe,4
L0486,Apple,Leaf Mold,0.427,38,6.38,26.7,89,6,93,106,49,Severe,4
L0487,Tomato,Leaf Mold,0.934,20,1.15,22.7,70,6.3,151,71,190,Moderate,4
L0488,Tomato,Leaf Mold,0.779,38,1.01,19.5,63,7.2,193,94,129,Mild,4
L0489,Potato,Leaf Mold,0.694,22,1.96,33.8,81,5.5,94,72,169,Moderate,4
L0490,Tomato,Leaf Mold,0.627,40,3.05,20,77,7.7,187,93,104,Mild,4
L0491,Corn,Leaf Mold,0.666,33,6.27,30.9,94,6.6,167,95,47,Severe,4
L0492,Apple,Leaf Mold,0.344,12,5.25,34.9,88,7.1,130,72,130,Moderate,4
L0493,Tomato,Leaf Mold,0.756,39,2.48,22.9,70,7,137,29,181,Severe,4
L0494,Apple,Leaf Mold,0.53,35,7.21,22.6,92,7.1,98,83,91,Mild,4
L0495,Apple,Leaf Mold,0.434,20,2.02,22.2,84,6.3,77,35,60,Mild,4
L0496,Corn,Leaf Mold,0.699,47,6.23,27.2,47,7.5,145,99,120,Severe,4
L0497,Apple,Leaf Mold,0.619,41,7.88,33.6,62,6.4,197,36,53,Moderate,4
L0498,Corn,Leaf Mold,0.911,32,0.74,23.9,88,7.3,167,35,218,Severe,4
L0499,Apple,Leaf Mold,0.748,34,0.59,21.6,82,5.7,142,98,106,Severe,4
L0500,Apple,Leaf Mold,0.454,40,4.04,28.4,68,5.9,158,46,147,Mild,4
L0501,Apple,Septoria Leaf Spot,0.855,28,2.6,21.1,53,7.8,108,32,109,Severe,5
L0502,Corn,Septoria Leaf Spot,0.857,40,1.97,31.6,92,5.8,52,42,147,Mild,5
L0503,Grape,Septoria Leaf Spot,0.647,13,2.87,26.3,61,6.8,195,26,141,Moderate,5
L0504,Potato,Septoria Leaf Spot,0.339,49,6.6,26.1,85,5.7,135,53,132,Mild,5
L0505,Grape,Septoria Leaf Spot,0.906,40,2.43,18.3,52,6.3,100,93,187,Moderate,5
L0506,Grape,Septoria Leaf Spot,0.413,46,6.35,24,88,6.7,164,30,137,Severe,5
L0507,Corn,Septoria Leaf Spot,0.711,23,1.59,20.8,66,6.5,196,71,58,Severe,5
L0508,Apple,Septoria Leaf Spot,0.448,15,2.88,23,62,6.9,151,54,153,Mild,5
L0509,Grape,Septoria Leaf Spot,0.928,42,3.6,21.1,46,5.8,110,104,104,Moderate,5
L0510,Tomato,Septoria Leaf Spot,0.437,49,3.48,19.6,75,6.8,56,118,141,Severe,5
L0511,Tomato,Septoria Leaf Spot,0.471,10,1.66,29.1,69,6.2,113,114,112,Severe,5
L0512,Potato,Septoria Leaf Spot,0.385,45,6.79,18.5,87,6.3,133,80,159,Moderate,5
L0513,Grape,Septoria Leaf Spot,0.589,22,7.77,29.9,56,6.9,166,100,202,Severe,5
L0514,Grape,Septoria Leaf Spot,0.716,32,4.5,33.5,75,6.7,72,76,118,Severe,5
L0515,Apple,Septoria Leaf Spot,0.401,31,0.58,26.9,93,7.5,138,56,160,Moderate,5
L0516,Corn,Septoria Leaf Spot,0.916,5,4.08,18.2,72,7.3,109,20,180,Severe,5
L0517,Corn,Septoria Leaf Spot,0.873,17,3.78,22.2,90,7.2,149,68,96,Moderate,5
L0518,Corn,Septoria Leaf Spot,0.706,10,4.37,31.6,84,7.4,119,56,206,Moderate,5
L0519,Apple,Septoria Leaf Spot,0.568,39,6.9,21.1,63,5.8,166,99,155,Severe,5
L0520,Grape,Septoria Leaf Spot,0.62,49,2.9,20.6,79,5.6,76,56,108,Moderate,5
L0521,Corn,Septoria Leaf Spot,0.773,50,2.25,20.6,76,6,157,59,167,Mild,5
L0522,Tomato,Septoria Leaf Spot,0.515,34,6.83,34.2,48,6.1,150,29,179,Moderate,5
L0523,Potato,Septoria Leaf Spot,0.882,16,2.38,24.5,45,5.8,113,69,153,Moderate,5
L0524,Potato,Septoria Leaf Spot,0.6,7,6.28,26.9,58,6.6,129,61,80,Mild,5
L0525,Grape,Septoria Leaf Spot,0.639,7,2.4,28.9,57,6.3,63,105,95,Severe,5
L0526,Corn,Septoria Leaf Spot,0.511,20,1.76,22.7,52,6.4,112,21,50,Mild,5
L0527,Corn,Septoria Leaf Spot,0.747,49,1.66,31.1,60,5.9,73,107,198,Severe,5
L0528,Tomato,Septoria Leaf Spot,0.339,45,5.33,29.9,95,5.7,174,49,121,Moderate,5
L0529,Apple,Septoria Leaf Spot,0.824,46,3.79,21.3,89,6.4,84,52,50,Severe,5
L0530,Corn,Septoria Leaf Spot,0.663,50,4.57,26.3,81,5.9,139,61,159,Moderate,5
L0531,Grape,Septoria Leaf Spot,0.404,43,4.48,25.6,61,6.7,166,20,203,Moderate,5
L0532,Potato,Septoria Leaf Spot,0.874,29,5.15,24.2,84,6,66,104,177,Severe,5
L0533,Grape,Septoria Leaf Spot,0.744,17,6.24,20.6,63,6.2,132,34,64,Moderate,5
L0534,Tomato,Septoria Leaf Spot,0.328,47,7.53,21,47,6,174,44,65,Severe,5
L0535,Corn,Septoria Leaf Spot,0.728,41,4.44,29.9,61,5.6,106,97,58,Mild,5
L0536,Corn,Septoria Leaf Spot,0.903,18,6.74,26,85,5.6,192,115,146,Mild,5
L0537,Tomato,Septoria Leaf Spot,0.835,50,2.49,18.7,49,7.4,69,47,172,Moderate,5
L0538,Potato,Septoria Leaf Spot,0.646,11,1.92,26.9,60,6.8,95,91,182,Mild,5
L0539,Grape,Septoria Leaf Spot,0.533,11,3.94,29.3,51,5.9,96,90,142,Moderate,5
L0540,Potato,Septoria Leaf Spot,0.647,26,5,33.9,65,6.8,133,67,145,Severe,5
L0541,Apple,Septoria Leaf Spot,0.695,32,4.72,21.6,94,6.8,115,66,155,Severe,5
L0542,Tomato,Septoria Leaf Spot,0.772,30,7.87,28.1,78,5.8,127,20,116,Moderate,5
L0543,Apple,Septoria Leaf Spot,0.314,18,6.66,29.7,62,7.6,180,91,186,Mild,5
L0544,Tomato,Septoria Leaf Spot,0.325,14,3.17,20.4,68,7.5,113,49,105,Severe,5
L0545,Grape,Septoria Leaf Spot,0.56,10,7.38,30.5,91,6.2,173,42,164,Moderate,5
L0546,Grape,Septoria Leaf Spot,0.833,49,1.22,28.9,47,7.2,197,68,60,Severe,5
L0547,Apple,Septoria Leaf Spot,0.872,26,3.76,33.8,52,7.5,108,115,207,Mild,5
L0548,Corn,Septoria Leaf Spot,0.335,5,4.43,23.4,81,5.8,178,109,96,Severe,5
L0549,Corn,Septoria Leaf Spot,0.931,8,6.15,27.8,50,6,124,120,140,Mild,5
L0550,Apple,Septoria Leaf Spot,0.354,13,4.79,18.8,70,6.1,152,84,151,Mild,5
L0551,Potato,Septoria Leaf Spot,0.613,13,1.99,24.7,81,6,184,51,102,Severe,5
L0552,Corn,Septoria Leaf Spot,0.51,22,7.43,19.5,87,6.5,143,64,88,Mild,5
L0553,Grape,Septoria Leaf Spot,0.726,27,6.27,20.9,67,6.9,163,99,77,Moderate,5
L0554,Potato,Septoria Leaf Spot,0.43,7,3.3,30.9,50,5.8,63,51,198,Moderate,5
L0555,Tomato,Septoria Leaf Spot,0.523,23,6.53,23.2,75,5.6,103,114,177,Mild,5
L0556,Grape,Septoria Leaf Spot,0.64,18,2.44,26.2,91,7.8,54,68,189,Mild,5
L0557,Tomato,Septoria Leaf Spot,0.466,38,0.95,21.4,89,6.9,63,79,207,Severe,5
L0558,Corn,Septoria Leaf Spot,0.729,9,5.47,33.5,68,7.5,54,57,206,Mild,5
L0559,Corn,Septoria Leaf Spot,0.631,19,5.82,33.4,76,7.5,186,31,87,Moderate,5
L0560,Corn,Septoria Leaf Spot,0.664,37,5.84,18.7,78,6.2,175,70,80,Mild,5
L0561,Apple,Septoria Leaf Spot,0.531,27,2.77,34.9,77,6.1,65,100,105,Mild,5
L0562,Grape,Septoria Leaf Spot,0.917,6,2.19,23.8,70,7,72,113,137,Moderate,5
L0563,Grape,Septoria Leaf Spot,0.867,48,5.65,25.1,81,5.9,129,97,124,Severe,5
L0564,Potato,Septoria Leaf Spot,0.434,39,1.54,27.2,57,7.5,129,108,220,Moderate,5
L0565,Corn,Septoria Leaf Spot,0.947,13,7.82,20.5,81,7.6,131,28,182,Severe,5
L0566,Potato,Septoria Leaf Spot,0.506,12,7.1,30.4,93,6.2,155,72,117,Severe,5
L0567,Apple,Septoria Leaf Spot,0.399,45,1.91,20.2,46,7.3,118,97,185,Moderate,5
L0568,Grape,Septoria Leaf Spot,0.451,19,5.66,24.1,89,7.3,84,84,194,Severe,5
L0569,Apple,Septoria Leaf Spot,0.42,50,3.41,26.1,55,5.9,58,72,43,Moderate,5
L0570,Potato,Septoria Leaf Spot,0.783,31,7.91,30.9,49,5.9,162,98,165,Moderate,5
L0571,Corn,Septoria Leaf Spot,0.877,25,3.71,31.2,83,7.2,147,112,120,Severe,5
L0572,Grape,Septoria Leaf Spot,0.686,44,4.44,32.9,95,5.6,77,77,156,Moderate,5
L0573,Grape,Septoria Leaf Spot,0.65,20,7.88,18.7,69,6.7,62,44,114,Mild,5
L0574,Apple,Septoria Leaf Spot,0.803,30,2.64,20.8,63,6.9,63,108,172,Moderate,5
L0575,Corn,Septoria Leaf Spot,0.359,34,4.25,21.1,82,7.7,189,37,140,Mild,5
L0576,Corn,Septoria Leaf Spot,0.316,25,3.9,33.2,57,7.5,73,52,122,Moderate,5
L0577,Potato,Septoria Leaf Spot,0.767,46,1.43,19.9,73,7,71,87,138,Severe,5
L0578,Grape,Septoria Leaf Spot,0.917,37,3.34,24.5,94,5.9,135,92,208,Severe,5
L0579,Potato,Septoria Leaf Spot,0.416,15,5.84,25.1,64,7.2,164,56,200,Mild,5
L0580,Potato,Septoria Leaf Spot,0.924,12,0.53,31,45,6.6,177,89,41,Mild,5
L0581,Potato,Septoria Leaf Spot,0.441,36,5.45,25.7,73,5.7,51,51,180,Severe,5
L0582,Grape,Septoria Leaf Spot,0.833,44,2.06,21.1,48,7,59,38,48,Moderate,5
