Sample_ID,Soil_pH,Moisture,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Rainfall,Soil_Texture,Soil_Type,Class
278,6.24,38.8,113,45,316,1.17,2.63,33.7,72.4,211.5,Silty,Black,Groundnut
279,6.33,23.9,180,84,101,2.06,1.73,20.0,52.2,215.3,Loamy,Laterite,Groundnut
280,5.85,54.3,176,87,292,0.37,0.9,20.9,71.5,261.2,Sandy,Laterite,Groundnut
281,7.85,34.9,90,16,293,2.05,2.7,18.4,84.0,147.9,Loamy,Laterite,Groundnut
282,7.75,56.1,88,27,203,2.15,1.39,34.5,51.2,180.9,Sandy,Red,Groundnut
283,6.41,69.8,134,72,314,1.95,2.48,28.3,44.5,150.2,Silty,Red,Groundnut
284,7.5,46.5,175,13,138,0.67,2.52,34.7,50.0,192.4,Loamy,Red,Groundnut
285,5.88,64.4,159,60,113,1.59,0.8,27.8,61.8,338.6,Silty,Alluvial,Groundnut
286,6.1,65.3,96,98,96,0.84,1.22,21.3,69.3,339.8,Clay,Red,Groundnut
287,7.17,31.1,134,75,60,1.94,2.9,31.6,63.4,98.4,Clay,Black,Groundnut
288,5.72,51.5,108,100,190,1.11,1.19,25.0,50.1,195.3,Silty,Black,Groundnut
289,5.02,75.0,125,81,194,0.87,0.41,19.3,94.3,245.8,Loamy,Alluvial,Groundnut
290,7.1,72.1,196,48,146,0.58,2.32,36.0,83.3,292.7,Silty,Alluvial,Groundnut
291,7.18,58.3,197,73,201,0.79,1.31,25.8,37.1,265.3,Clay,Alluvial,Groundnut
292,7.32,28.3,166,91,293,2.02,2.05,28.1,85.7,303.8,Clay,Alluvial,Groundnut
293,5.31,22.7,96,81,143,2.1,2.71,31.1,48.3,124.8,Loamy,Laterite,Groundnut
294,7.52,34.9,96,84,200,1.18,0.44,19.1,73.1,228.3,Sandy,Laterite,Groundnut
295,7.85,45.0,204,58,321,0.87,0.26,35.1,43.2,118.1,Silty,Laterite,Groundnut
296,5.46,66.7,76,20,299,0.93,2.96,24.3,38.5,191.1,Clay,Red,Groundnut
297,6.84,24.5,52,26,272,1.5,1.27,37.3,58.0,70.9,Clay,Alluvial,Groundnut
298,8.04,68.5,165,34,59,1.59,1.92,23.0,76.6,159.9,Clay,Black,Groundnut
299,6.23,50.3,72,18,73,0.87,0.94,32.6,70.8,158.0,Clay,Alluvial,Groundnut
300,8.19,44.4,78,31,256,0.34,0.75,37.7,47.7,66.4,Clay,Black,Groundnut
301,6.17,54.0,39,58,180,1.77,1.91,29.9,37.9,91.4,Sandy,Black,Soybean
302,7.21,40.0,127,25,330,0.78,2.14,22.1,76.1,62.7,Silty,Black,Soybean
303,7.12,31.2,185,99,120,1.1,2.71,28.2,72.1,142.0,Sandy,Laterite,Soybean
304,5.64,27.0,97,76,153,0.98,1.29,21.2,67.9,324.0,Silty,Alluvial,Soybean
305,5.75,15.8,52,24,343,1.57,0.53,19.8,65.7,269.8,Sandy,Alluvial,Soybean
306,7.06,42.4,105,43,287,0.4,2.46,35.5,86.1,164.5,Loamy,Laterite,Soybean
307,7.36,20.7,41,11,120,1.56,0.59,25.2,61.3,240.3,Sandy,Alluvial,Soybean
308,7.61,26.0,132,61,283,0.82,1.22,35.0,83.0,248.2,Clay,Black,Soybean
309,5.42,58.6,70,23,263,2.03,1.5,29.4,61.3,237.3,Loamy,Black,Soybean
310,7.76,67.8,216,26,297,2.05,0.43,26.2,37.8,135.9,Loamy,Black,Soybean
311,7.25,55.7,220,83,339,0.73,2.87,35.5,66.1,259.6,Sandy,Laterite,Soybean
312,7.12,29.9,118,94,247,0.58,2.5,35.8,71.8,63.4,Clay,Laterite,Soybean
313,7.73,67.2,49,72,214,0.76,2.91,19.0,48.4,246.6,Silty,Red,Soybean
314,5.25,41.7,176,67,95,1.93,1.4,20.4,64.8,249.5,Sandy,Laterite,Soybean
315,6.32,48.4,30,21,205,1.99,1.73,31.1,62.4,158.8,Sandy,Red,Soybean
316,7.7,34.9,188,86,292,1.66,1.15,27.1,40.8,251.1,Sandy,Alluvial,Soybean
317,6.14,53.0,104,80,317,1.01,0.41,35.9,64.5,298.3,Silty,Black,Soybean
318,5.81,26.8,60,60,160,1.17,2.37,32.3,41.5,180.2,Sandy,Laterite,Soybean
319,6.46,50.4,159,27,305,0.31,2.24,29.1,61.0,229.7,Clay,Red,Soybean
320,7.34,22.7,129,94,214,1.26,1.22,37.6,90.0,281.1,Loamy,Laterite,Soybean
321,8.08,73.2,145,27,120,1.08,2.13,33.0,52.9,263.4,Loamy,Red,Soybean
322,5.64,52.5,104,97,226,2.05,0.48,32.2,93.5,111.6,Loamy,Black,Soybean
323,7.43,48.7,179,83,263,1.58,2.69,28.7,87.6,182.5,Sandy,Black,Soybean
324,5.08,23.7,201,17,152,0.81,2.38,37.7,76.0,102.5,Sandy,Alluvial,Soybean
325,5.65,47.5,121,67,102,1.47,2.06,29.2,48.5,247.7,Silty,Red,Soybean
326,6.63,62.8,208,46,74,2.06,1.22,37.1,93.5,150.7,Sandy,Black,Soybean
327,7.38,27.2,143,38,238,1.73,1.69,30.1,81.6,339.6,Loamy,Laterite,Soybean
328,5.57,56.0,77,32,313,0.53,0.22,23.6,50.9,106.7,Loamy,Black,Soybean
329,6.06,57.6,69,15,128,2.06,1.83,33.5,72.5,304.5,Loamy,Laterite,Soybean
330,7.53,48.0,48,100,212,1.3,2.88,28.4,82.2,106.2,Silty,Black,Soybean
331,6.12,68.0,199,52,219,0.99,0.73,33.1,66.8,349.0,Sandy,Black,Soybean
332,7.14,41.7,194,88,174,2.12,2.08,24.4,90.0,334.0,Silty,Alluvial,Soybean
333,6.73,32.0,162,57,313,1.83,1.39,18.9,88.9,115.8,Sandy,Black,Soybean
334,5.54,72.4,167,78,53,1.49,0.71,30.6,47.8,258.8,Sandy,Red,Soybean
335,6.72,57.2,219,65,86,1.72,0.55,27.2,54.9,85.4,Sandy,Red,Soybean
336,7.54,48.5,177,39,182,1.07,1.41,26.1,54.0,173.0,Sandy,Black,Soybean
337,7.05,52.1,220,84,73,1.63,0.31,36.6,41.4,288.2,Loamy,Black,Soybean
338,5.9,70.6,127,60,65,1.2,1.65,20.7,58.5,291.3,Loamy,Red,Soybean
339,5.95,68.2,216,92,241,2.12,0.13,35.5,43.5,72.1,Silty,Black,Soybean
340,5.98,59.9,215,54,158,1.08,1.97,28.3,44.7,124.0,Loamy,Red,Soybean
341,5.37,55.3,175,16,331,1.18,1.69,23.8,39.0,88.5,Silty,Alluvial,Soybean
342,6.14,55.3,90,22,195,1.48,2.71,24.4,62.0,238.7,Loamy,Red,Soybean
343,6.81,36.9,110,64,136,0.31,0.81,22.4,79.4,186.5,Loamy,Red,Soybean
344,7.17,34.9,152,69,278,0.98,0.99,29.0,45.5,235.9,Loamy,Red,Soybean
345,7.85,26.8,217,90,89,1.68,2.69,35.0,72.9,295.7,Silty,Red,Soybean
346,7.9,48.1,169,79,291,1.54,0.53,25.8,88.5,231.0,Loamy,Red,Soybean
347,6.49,45.6,131,56,307,0.32,0.79,37.3,93.9,258.4,Clay,Laterite,Soybean
348,5.51,49.0,174,94,124,1.7,1.5,25.2,48.1,201.4,Sandy,Alluvial,Soybean
349,6.18,17.6,82,76,234,1.04,2.76,35.6,37.4,248.1,Sandy,Alluvial,Soybean
350,7.67,30.8,169,82,139,1.02,1.2,29.8,88.9,82.6,Loamy,Laterite,Soybean
351,8.11,28.4,133,55,226,1.23,1.5,30.1,65.1,100.3,Clay,Red,Barley
352,5.25,53.6,84,29,145,0.6,1.85,34.3,74.7,180.2,Loamy,Black,Barley
353,6.54,43.7,83,85,132,1.53,1.29,22.9,42.7,231.8,Clay,Black,Barley
354,7.85,23.8,72,43,142,1.28,1.28,37.4,73.3,314.8,Loamy,Black,Barley
355,5.69,51.4,150,71,137,0.72,1.29,20.9,70.0,282.6,Loamy,Red,Barley
356,7.32,35.6,146,86,85,0.74,1.22,20.2,47.1,309.3,Silty,Red,Barley
357,6.94,25.6,187,86,69,1.97,1.64,33.0,40.6,251.2,Sandy,Laterite,Barley
358,6.67,37.2,41,99,321,1.12,2.82,27.6,81.1,161.7,Sandy,Laterite,Barley
359,5.43,43.6,89,20,195,1.44,1.68,23.2,35.3,275.7,Sandy,Black,Barley
360,6.66,37.5,82,98,211,1.08,0.41,26.5,70.1,135.8,Silty,Alluvial,Barley
361,6.96,74.5,131,36,261,1.35,1.72,21.6,68.5,200.3,Loamy,Alluvial,Barley
362,7.48,38.9,65,94,110,1.72,1.4,32.0,44.7,122.2,Silty,Alluvial,Barley
363,7.56,51.8,205,100,76,0.61,2.9,18.1,40.5,102.1,Silty,Black,Barley
364,5.21,28.3,50,87,69,1.68,2.8,26.0,74.4,143.1,Sandy,Red,Barley
365,7.05,41.3,81,94,315,0.84,0.2,30.0,65.9,127.2,Clay,Black,Barley
366,6.15,54.3,70,21,191,1.78,1.12,25.9,70.2,210.1,Sandy,Black,Barley
367,6.76,58.6,173,84,228,0.96,2.46,22.5,92.8,191.9,Silty,Black,Barley
368,5.84,39.4,57,81,87,1.26,1.09,20.3,65.8,134.7,Loamy,Laterite,Barley
369,8.09,48.8,92,53,284,1.6,2.7,35.2,63.9,134.8,Silty,Red,Barley
370,7.17,28.8,110,62,230,1.28,0.13,34.6,49.9,87.0,Loamy,Black,Barley
371,6.77,25.7,110,55,161,2.0,0.88,36.9,76.0,323.9,Silty,Red,Barley
372,5.75,29.5,97,36,167,0.69,0.82,30.4,44.4,90.9,Sandy,Laterite,Barley
373,6.96,60.9,168,15,296,1.01,1.01,36.0,87.9,226.6,Loamy,Laterite,Barley
374,5.59,60.9,160,45,253,0.72,1.77,19.1,83.0,198.7,Sandy,Alluvial,Barley
375,6.26,56.2,74,68,111,1.63,1.43,31.8,35.7,121.1,Sandy,Alluvial,Barley
376,6.16,66.7,77,80,184,0.75,1.47,30.3,57.0,204.6,Clay,Laterite,Barley
377,7.24,37.3,132,45,280,0.64,0.48,29.5,48.7,89.0,Loamy,Red,Barley
378,6.78,66.4,80,28,126,1.2,0.13,26.4,43.1,319.0,Loamy,Laterite,Barley
379,5.96,48.7,175,16,253,0.49,0.57,22.3,50.3,303.3,Sandy,Laterite,Barley
380,7.38,30.6,122,81,335,2.07,0.85,18.4,42.3,311.5,Clay,Red,Barley
381,8.13,32.1,113,96,311,1.23,2.24,35.8,57.9,143.1,Clay,Red,Barley
382,7.05,70.7,137,90,342,1.07,2.73,19.6,55.6,150.9,Loamy,Alluvial,Barley
383,6.94,38.7,143,56,350,1.29,1.41,21.3,86.3,96.3,Clay,Alluvial,Barley
384,8.01,57.0,50,36,135,1.05,0.38,36.7,63.4,75.6,Silty,Black,Barley
385,5.33,52.1,51,93,249,0.89,0.82,23.7,72.6,98.1,Clay,Black,Barley
386,5.11,36.4,113,70,289,2.15,1.67,23.4,61.7,341.2,Clay,Laterite,Barley
387,7.02,53.2,174,65,318,1.52,1.65,36.2,63.9,125.9,Sandy,Laterite,Barley
388,5.99,39.7,69,48,55,0.3,2.46,35.0,55.6,196.1,Sandy,Laterite,Barley
389,8.03,43.6,32,65,199,1.43,2.41,29.0,46.3,315.8,Silty,Laterite,Barley
390,5.8,57.9,195,59,243,0.72,0.33,30.5,66.0,292.0,Loamy,Alluvial,Barley
391,7.08,46.9,98,62,146,1.92,0.63,23.8,73.2,239.1,Loamy,Laterite,Barley
392,5.6,16.2,42,78,61,0.65,0.4,23.4,77.9,270.9,Clay,Black,Barley
393,5.48,44.6,117,63,209,1.79,1.55,25.4,76.8,69.2,Sandy,Red,Barley
394,5.18,61.5,48,79,290,0.65,2.7,23.0,57.9,63.7,Clay,Laterite,Barley
395,7.47,41.6,218,14,151,1.18,2.34,28.4,93.9,197.1,Loamy,Alluvial,Barley
396,5.51,58.7,220,80,316,0.53,1.5,24.0,56.6,75.1,Clay,Black,Barley
397,5.76,41.0,33,31,191,1.41,1.25,22.9,93.1,228.5,Silty,Red,Barley
398,6.19,20.4,70,73,96,1.6,1.08,37.4,80.6,77.4,Loamy,Red,Barley
399,7.24,62.5,62,72,169,0.9,1.72,30.9,55.8,318.6,Clay,Black,Barley
400,7.21,36.5,64,42,70,1.22,1.37,23.9,76.8,115.0,Clay,Alluvial,Barley
401,6.04,43.1,183,80,132,0.43,0.55,23.9,50.8,166.5,Sandy,Laterite,Millets
402,7.35,68.0,188,56,172,0.91,0.28,37.3,84.1,115.1,Silty,Red,Millets
403,6.96,34.4,194,51,106,0.48,2.01,18.9,91.3,111.8,Sandy,Red,Millets
404,5.34,26.5,38,83,248,1.55,1.62,32.0,50.4,166.2,Sandy,Black,Millets
405,7.98,27.5,155,20,289,1.82,0.28,29.2,91.3,180.6,Loamy,Black,Millets
406,7.64,30.9,40,19,205,0.45,0.73,28.4,41.1,127.0,Silty,Red,Millets
407,5.62,54.4,175,90,141,1.36,1.72,32.9,81.0,227.2,Silty,Laterite,Millets
408,7.83,25.0,76,80,255,1.26,2.01,28.7,71.0,330.7,Loamy,Alluvial,Millets
409,7.7,39.7,192,65,215,1.46,1.73,22.3,80.9,328.6,Loamy,Alluvial,Millets
410,8.08,41.8,131,10,67,2.17,1.83,28.4,94.6,147.5,Loamy,Red,Millets
411,5.69,33.9,206,45,333,1.27,1.75,29.4,40.7,193.5,Clay,Red,Millets
412,5.85,68.4,93,39,181,1.84,0.37,26.0,90.1,272.9,Loamy,Laterite,Millets
413,5.55,64.5,206,99,345,1.86,0.38,30.8,37.2,294.4,Silty,Black,Millets
414,7.5,70.3,115,54,272,1.09,2.62,35.4,48.6,249.3,Sandy,Laterite,Millets
415,5.17,46.5,111,79,339,0.58,1.56,22.4,38.0,272.2,Silty,Laterite,Millets
416,7.41,49.5,53,38,271,0.85,1.24,20.6,40.0,225.7,Sandy,Laterite,Millets
417,5.84,38.9,141,99,116,1.75,1.49,22.0,58.7,225.7,Clay,Red,Millets
418,5.23,61.6,112,97,344,0.47,2.05,26.5,55.9,153.0,Sandy,Alluvial,Millets
419,5.54,36.0,143,89,124,1.14,2.78,22.7,76.1,105.2,Sandy,Black,Millets
420,7.37,29.6,188,28,197,0.33,2.11,20.2,62.0,66.6,Clay,Red,Millets
421,5.65,46.4,96,80,297,1.48,2.98,31.9,75.1,169.2,Sandy,Alluvial,Millets
422,5.55,32.0,208,89,188,0.4,2.0,18.2,58.3,138.7,Loamy,Black,Millets
423,5.06,67.0,196,59,168,2.16,1.57,32.2,89.2,200.6,Sandy,Red,Millets
424,5.64,73.0,173,12,70,0.77,1.64,24.7,58.6,105.5,Loamy,Alluvial,Millets
425,6.14,33.1,158,45,81,1.49,2.65,35.8,83.9,68.5,Loamy,Red,Millets
426,5.49,68.8,198,27,94,1.69,1.61,31.6,87.4,259.1,Silty,Red,Millets
427,6.83,40.6,109,87,218,1.15,0.48,31.0,69.9,258.4,Clay,Red,Millets
428,5.99,57.3,164,27,270,2.19,2.93,20.9,91.0,326.0,Loamy,Black,Millets
429,6.78,71.9,60,33,212,1.9,0.52,18.6,54.1,342.1,Silty,Alluvial,Millets
430,6.42,71.0,193,45,127,1.78,0.41,21.7,80.7,237.5,Loamy,Red,Millets
431,6.91,28.9,36,55,90,1.61,1.48,28.0,71.3,266.5,Loamy,Red,Millets
432,7.73,44.5,65,30,148,0.73,1.28,37.4,90.5,335.6,Clay,Red,Millets
433,7.42,19.0,142,88,300,1.61,2.61,35.8,60.7,285.1,Silty,Alluvial,Millets
434,6.26,71.3,176,86,324,1.3,2.64,33.7,66.2,191.0,Sandy,Red,Millets
435,6.66,38.7,218,15,335,1.04,2.32,37.3,46.4,187.5,Loamy,Alluvial,Millets
436,6.48,40.3,186,16,314,2.02,1.44,30.9,40.4,205.2,Clay,Red,Millets
437,6.26,34.4,36,32,282,1.42,2.17,22.0,62.3,132.5,Clay,Black,Millets
438,5.29,57.4,192,56,93,1.3,1.21,33.8,65.7,335.4,Silty,Laterite,Millets
439,5.14,25.3,115,82,126,0.61,0.52,33.4,38.1,149.3,Silty,Alluvial,Millets
440,7.0,22.1,63,35,51,1.48,0.83,27.2,86.3,217.6,Sandy,Laterite,Millets
441,5.76,50.3,151,68,259,1.14,1.84,18.1,87.9,140.7,Clay,Black,Millets
442,5.59,18.3,119,14,124,1.92,2.03,34.8,52.9,326.9,Sandy,Black,Millets
443,6.33,25.7,202,46,343,1.8,0.61,27.1,69.7,330.1,Sandy,Alluvial,Millets
444,6.03,68.9,47,64,331,0.42,1.47,20.4,86.6,155.5,Silty,Red,Millets
445,7.23,51.7,57,83,320,2.18,1.5,31.8,91.0,346.0,Loamy,Laterite,Millets
446,6.95,34.0,164,83,231,2.06,1.88,27.9,78.8,204.3,Clay,Red,Millets
447,7.27,73.8,30,25,62,1.18,2.41,32.7,47.4,238.4,Silty,Laterite,Millets
448,5.15,36.0,193,37,55,1.52,2.1,23.1,39.1,147.1,Loamy,Black,Millets
449,5.36,35.0,131,82,64,1.88,0.66,34.7,90.3,198.9,Silty,Black,Millets
450,7.07,43.9,190,68,324,2.0,1.44,34.3,90.7,76.2,Loamy,Alluvial,Millets
451,6.78,16.1,177,97,219,1.82,2.68,25.1,93.2,141.3,Sandy,Alluvial,Pulses
452,8.15,52.6,72,83,249,0.66,0.44,33.6,53.5,308.8,Sandy,Alluvial,Pulses
453,6.32,44.8,90,57,281,1.88,0.98,28.5,45.5,168.5,Sandy,Red,Pulses
454,7.92,41.6,36,71,306,0.59,1.09,27.7,87.4,150.0,Loamy,Red,Pulses
455,7.46,20.9,162,96,117,0.69,0.21,25.8,86.9,93.6,Loamy,Black,Pulses
456,7.2,50.7,52,52,289,1.99,0.4,33.3,79.7,66.5,Loamy,Red,Pulses
457,6.03,26.6,100,78,213,1.77,2.05,23.5,44.4,93.2,Sandy,Red,Pulses
458,6.74,48.0,99,28,195,1.39,0.6,24.2,88.5,216.8,Sandy,Red,Pulses
459,5.09,69.2,42,23,246,0.4,1.34,21.6,70.8,231.9,Silty,Alluvial,Pulses
460,6.0,64.0,212,95,323,0.45,2.78,33.3,69.1,86.9,Silty,Black,Pulses
461,6.46,56.1,211,69,290,0.74,0.75,35.2,72.0,324.7,Silty,Red,Pulses
462,7.24,54.9,113,68,299,0.36,1.48,25.0,62.7,109.5,Loamy,Red,Pulses
463,6.63,39.3,212,23,216,1.36,0.31,24.0,62.7,231.3,Clay,Red,Pulses
464,6.75,73.4,128,18,224,0.7,2.11,26.6,93.8,224.5,Loamy,Red,Pulses
465,5.55,55.2,219,83,299,0.52,1.83,24.5,40.9,189.1,Loamy,Laterite,Pulses
466,5.22,21.5,182,58,217,1.24,2.01,19.8,84.0,317.3,Sandy,Red,Pulses
467,7.11,42.2,104,59,345,1.15,0.7,35.5,53.0,290.4,Loamy,Laterite,Pulses
468,7.3,69.9,52,84,54,1.46,1.58,35.0,86.2,78.1,Sandy,Black,Pulses
469,7.25,64.2,121,24,194,1.94,0.78,32.0,58.7,152.3,Silty,Laterite,Pulses
470,6.22,47.7,199,32,293,0.56,1.71,34.9,56.6,181.0,Loamy,Red,Pulses
471,5.43,19.3,34,28,299,1.55,2.93,20.7,43.2,293.7,Silty,Laterite,Pulses
472,6.99,42.3,138,80,280,1.03,0.75,26.5,35.4,204.5,Clay,Alluvial,Pulses
473,6.31,47.8,123,14,69,1.38,2.14,20.3,63.9,260.2,Clay,Alluvial,Pulses
474,6.49,19.7,186,21,175,1.2,2.25,37.2,39.7,243.8,Loamy,Black,Pulses
475,7.89,47.1,32,70,282,1.27,1.46,32.7,60.3,338.6,Loamy,Alluvial,Pulses
476,5.54,56.7,182,48,338,0.79,1.92,29.6,69.4,250.3,Loamy,Black,Pulses
477,5.92,20.0,159,19,192,0.78,1.89,23.5,50.4,275.0,Clay,Red,Pulses
478,7.11,37.2,74,43,170,1.22,2.42,35.2,55.6,84.5,Clay,Red,Pulses
479,7.68,60.2,135,59,171,1.56,2.21,21.3,69.7,304.1,Sandy,Alluvial,Pulses
480,7.42,22.0,72,69,254,1.2,1.48,37.0,90.3,127.8,Silty,Laterite,Pulses
481,5.84,46.8,141,11,197,2.06,1.4,31.6,92.7,258.0,Sandy,Black,Pulses
482,7.94,53.2,140,88,189,0.94,0.87,20.0,74.3,173.4,Clay,Red,Pulses
483,6.66,55.7,76,50,330,0.32,0.12,19.4,59.7,212.3,Silty,Alluvial,Pulses
484,5.7,32.0,79,14,62,1.48,0.26,29.9,88.6,122.9,Sandy,Black,Pulses
485,5.28,51.3,126,94,339,1.83,0.64,20.2,46.1,145.4,Sandy,Laterite,Pulses
486,7.95,31.6,139,98,215,0.79,2.36,23.5,38.7,172.7,Sandy,Alluvial,Pulses
487,8.06,30.9,142,18,301,2.16,0.68,25.9,73.7,91.4,Silty,Red,Pulses
488,6.96,21.4,143,43,102,0.37,0.3,32.6,81.6,65.4,Silty,Red,Pulses
489,7.09,15.1,39,95,249,0.81,2.13,36.1,69.5,209.5,Silty,Laterite,Pulses
490,6.4,65.6,47,79,165,0.31,2.87,34.4,63.9,224.5,Loamy,Alluvial,Pulses
491,7.18,39.0,191,92,96,0.99,2.57,24.8,85.5,280.5,Loamy,Red,Pulses
492,5.57,17.4,128,94,147,0.87,1.23,20.1,76.3,201.1,Silty,Red,Pulses
493,5.45,26.6,214,85,172,1.23,0.28,28.8,53.5,214.8,Silty,Black,Pulses
494,5.12,18.4,214,15,257,0.52,2.44,31.3,62.5,256.6,Clay,Red,Pulses
495,7.96,17.2,66,72,59,1.2,2.76,18.9,77.1,97.9,Clay,Black,Pulses
496,7.89,64.2,54,68,137,1.89,0.29,34.3,41.9,232.5,Clay,Black,Pulses
497,7.57,40.6,218,96,255,0.92,2.93,29.5,43.2,302.6,Clay,Black,Pulses
498,6.9,35.1,60,45,122,1.74,0.59,25.4,44.9,130.7,Sandy,Red,Pulses
499,5.32,65.8,186,58,130,0.33,1.51,18.1,45.8,85.9,Loamy,Laterite,Pulses
500,7.22,62.5,151,98,114,0.69,1.96,28.5,59.7,332.0,Sandy,Red,Pulses
501,7.3,51.7,52,90,204,0.96,0.11,22.7,42.1,213.8,Sandy,Alluvial,Chickpea
502,7.76,74.2,159,38,287,1.76,2.01,23.5,46.6,291.0,Silty,Laterite,Chickpea
503,5.56,55.2,41,16,236,0.84,1.36,24.7,83.3,279.9,Sandy,Black,Chickpea
504,7.37,70.5,75,30,64,1.22,0.44,35.9,78.3,231.9,Loamy,Laterite,Chickpea
505,5.64,55.6,113,39,106,0.92,0.38,32.8,87.2,168.9,Clay,Black,Chickpea
506,6.51,44.1,141,28,160,2.06,1.42,25.7,43.2,268.7,Loamy,Alluvial,Chickpea
507,5.65,22.6,207,82,80,0.83,0.42,27.3,60.1,280.5,Clay,Alluvial,Chickpea
508,6.93,62.4,193,88,137,1.4,1.7,22.6,59.7,211.3,Clay,Laterite,Chickpea
509,7.68,31.8,216,64,176,0.77,1.36,22.4,90.6,334.4,Sandy,Laterite,Chickpea
510,8.14,17.4,150,74,67,1.11,1.24,34.2,76.8,88.4,Silty,Red,Chickpea
511,5.27,60.2,207,62,161,0.55,0.96,31.0,40.4,199.1,Loamy,Red,Chickpea
512,7.25,66.5,179,13,282,1.18,0.5,32.1,46.1,312.8,Silty,Black,Chickpea
513,7.75,19.2,206,52,321,0.36,1.34,23.4,91.8,217.3,Clay,Black,Chickpea
514,6.99,35.1,44,75,236,1.99,0.42,25.3,72.1,166.0,Clay,Black,Chickpea
515,6.79,61.4,65,52,172,1.33,1.98,32.7,80.1,312.6,Clay,Red,Chickpea
516,6.03,68.9,158,97,266,0.83,0.28,24.9,64.2,212.7,Sandy,Laterite,Chickpea
517,7.27,55.7,166,47,281,1.48,2.42,36.9,83.5,332.9,Sandy,Red,Chickpea
518,7.85,42.5,50,60,141,0.85,2.87,20.2,51.6,262.2,Silty,Red,Chickpea
519,7.8,46.2,190,12,200,1.09,2.08,36.6,63.4,181.8,Sandy,Alluvial,Chickpea
520,5.6,16.3,89,76,221,1.08,1.09,30.9,54.6,232.1,Silty,Laterite,Chickpea
521,5.97,22.9,108,31,183,0.73,1.18,23.8,85.7,103.0,Loamy,Laterite,Chickpea
522,8.06,52.1,71,78,196,0.65,0.61,32.2,89.3,290.4,Clay,Red,Chickpea
523,5.37,74.6,177,26,275,0.79,0.64,29.2,37.1,151.9,Loamy,Red,Chickpea
524,6.19,47.4,71,78,204,0.53,0.17,36.6,81.1,334.9,Loamy,Red,Chickpea
525,5.01,59.3,159,52,201,1.2,0.94,36.9,93.8,226.4,Clay,Laterite,Chickpea
526,6.08,21.7,152,15,121,1.59,0.44,18.5,72.1,123.9,Loamy,Black,Chickpea
527,6.04,51.5,79,84,319,0.72,2.81,23.6,36.4,216.1,Silty,Black,Chickpea
528,8.12,38.7,155,50,311,2.09,2.73,25.2,43.9,307.6,Loamy,Laterite,Chickpea
529,6.19,32.1,119,49,278,1.96,0.35,32.6,61.7,347.9,Silty,Alluvial,Chickpea
530,5.52,58.7,138,63,121,1.89,1.83,20.9,53.2,346.6,Loamy,Black,Chickpea
531,7.99,50.4,126,21,53,1.08,2.75,26.3,68.3,266.0,Clay,Red,Chickpea
532,5.6,37.9,171,72,71,1.86,0.98,29.7,64.6,274.6,Clay,Black,Chickpea
533,7.53,24.2,106,91,291,0.54,2.03,23.8,45.8,323.0,Clay,Black,Chickpea
534,5.38,31.6,47,86,235,1.4,1.74,35.4,72.7,198.1,Sandy,Alluvial,Chickpea
535,6.64,49.5,96,30,347,0.41,1.03,35.6,43.1,107.4,Loamy,Alluvial,Chickpea
536,6.34,69.7,121,16,198,0.85,1.95,19.5,46.6,242.1,Sandy,Red,Chickpea
537,6.74,67.3,205,48,188,1.6,2.1,19.9,69.8,298.8,Sandy,Red,Chickpea
538,6.66,37.4,154,62,224,2.05,0.57,22.4,65.2,301.2,Sandy,Laterite,Chickpea
539,6.47,19.6,63,12,295,0.96,2.1,20.8,61.5,346.4,Loamy,Red,Chickpea
540,7.27,16.7,60,38,115,1.93,0.51,22.5,42.5,97.8,Sandy,Laterite,Chickpea
541,7.21,62.0,49,12,297,1.74,0.22,20.2,82.6,208.9,Sandy,Laterite,Chickpea
542,5.38,30.2,46,48,55,1.73,2.37,36.4,47.3,321.3,Clay,Alluvial,Chickpea
543,5.09,23.7,101,84,228,0.97,2.58,33.6,71.8,206.4,Sandy,Black,Chickpea
544,7.62,60.8,165,37,148,2.13,0.6,33.1,35.3,270.4,Clay,Laterite,Chickpea
545,6.17,50.4,142,96,104,0.64,1.13,25.6,47.9,126.0,Sandy,Alluvial,Chickpea
546,5.4,21.6,64,73,234,1.64,1.72,18.8,54.7,93.6,Loamy,Laterite,Chickpea
547,6.92,33.7,143,38,333,1.07,2.96,26.6,86.4,319.5,Silty,Alluvial,Chickpea
548,5.57,74.9,155,96,103,1.05,1.62,31.5,42.2,174.5,Sandy,Red,Chickpea
549,5.21,73.5,116,35,256,0.53,2.53,32.5,51.7,266.9,Loamy,Laterite,Chickpea
550,6.14,55.0,133,72,311,0.83,2.33,20.2,50.0,204.2,Clay,Black,Chickpea
551,5.32,18.2,47,73,63,2.15,1.21,31.6,44.2,240.4,Sandy,Black,Mustard
552,7.12,46.2,156,69,153,0.86,1.54,28.1,67.5,294.7,Sandy,Black,Mustard
553,8.17,67.8,60,59,280,0.9,1.19,27.2,37.0,221.4,Loamy,Red,Mustard
554,6.57,23.1,213,59,299,1.75,1.75,27.8,68.2,216.4,Silty,Laterite,Mustard
555,6.8,24.4,44,60,184,1.24,2.92,30.3,56.2,343.6,Loamy,Black,Mustard
556,5.09,17.7,123,54,348,0.35,2.68,24.8,40.8,160.1,Loamy,Laterite,Mustard
557,6.12,54.7,93,40,209,1.43,2.74,19.3,53.3,157.9,Sandy,Alluvial,Mustard
